cols.0,cols.1,cols.2,cols.3
This,O,2020/10/01,Agreement Date
agreement,O,"",Contract Start Date
signed,O,"",Contract End Date
between,O,"",COLA Adjustment
Ensono,B-ORG,"",""
Inc,I-ORG,"",""
and,O,"",""
RexWare,B-ORG,"",""
Inc,I-ORG,"",""
.,O,"",""
with,O,"",""
an,O,"",""
Agreement,B-MISC,"",""
Date,I-MISC,"",""
10/01/2020,O,"",""
with,O,"",""
a,O,"",""
Contract,B-MISC,"",""
Start,I-MISC,"",""
Date,I-MISC,"",""
12/01/2020,O,"",""
and,O,"",""
Contract,B-MISC,"",""
End,I-MISC,"",""
Date,I-MISC,"",""
12-01-2021,O,"",""
.,O,"",""
COLA,B-ORG,"",""
Adjustment,O,"",""
will,O,"",""
be,O,"",""
3%,O,"",""
per,O,"",""
year,O,"",""
starting,O,"",""
on,O,"",""
01/01/2023,O,"",""
